영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
짝퉁부부 섹스금지,,(주)두리컴미디어,,(주)두리컴미디어,2023-11-07,개봉영화,장편,한국,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
착한 형수 6,,(주)영화사가을,,(주)영화사가을,2023-12-09,개봉영화,장편,한국,1,6000,1,0,0,,청소년관람불가,일반영화
찾아가서 삽입시켜 드립니다,,(주)샤이커뮤니케이션즈,,(주)샤이커뮤니케이션즈,2024-01-11,개봉영화,장편,한국,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
처제 속살 훔쳐보다가..,,(주)샤이커뮤니케이션즈,,(주)샤이커뮤니케이션즈,2023-11-02,개봉영화,장편,한국,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
처제와 2대1,,,,(주)영화사가을,2024-02-18,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
총각파티 ： 은밀한 서비스,,(주)영화사가을,,(주)영화사가을,2023-11-18,개봉영화,장편,한국,1,6000,1,0,0,,청소년관람불가,일반영화
출장 간호사의 특별한서비스,,주식회사 루믹스미디어,,주식회사 루믹스미디어,2024-01-03,개봉영화,장편,한국,1,1000,1,0,0,기타,청소년관람불가,일반영화
출장도우미와 2대1,,(주)영화사가을,,(주)영화사가을,2024-01-21,개봉영화,장편,한국,1,6000,1,0,0,,청소년관람불가,일반영화
친구 여친이 내 물건을 만졌다! 무삭제판,신성진,영드래곤 미디어,,영드래곤 미디어,2023-11-10,개봉영화,장편,한국,1,6000,1,0,0,,청소년관람불가,일반영화
친구부부 맞교환 후기,,,,주식회사 플릭스코,2024-01-24,개봉영화,장편,한국,1,6000,1,0,0,드라마,청소년관람불가,일반영화
친구아빠 3,,,,(주)영화사가을,2024-04-07,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
캠핑의 목적,,(주)영화사가을,,(주)영화사가을,2024-04-13,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
팅크족,,(주)뮤직엔닷컴,,(주)뮤직엔닷컴,2024-04-26,개봉영화,장편,한국,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
파트너 바꿔먹기,,(주)영화사가을,,(주)영화사가을,2024-04-07,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
팬티 검사하는 아내의 집착,,주식회사 플릭스코,,주식회사 플릭스코,2023-12-07,개봉영화,장편,한국,1,6000,1,0,0,드라마,청소년관람불가,일반영화
피보다 진한 떡정의 최후,김피디,(주)이십일세기미디어,,(주)이십일세기미디어,2024-03-22,개봉영화,장편,한국,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
한달에 한번 진짜 마법에 걸리는 여자,모니카,(주)룬컴퍼니,,(주)룬컴퍼니,2024-04-12,개봉영화,장편,한국,1,6000,1,0,0,코미디,청소년관람불가,일반영화
헌팅 노래방 : 부킹 맛집,,,,(주)영화사가을,2024-03-12,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
헌팅： 첫 만남에 다 먹는 여자들,,(주)두리컴미디어,,(주)두리컴미디어,2023-12-27,개봉영화,장편,한국,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
헐렁이는 재벌집 막내 며느리,,,,(주)코빈커뮤니케이션즈,2023-12-12,개봉영화,장편,한국,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
호빠 : 예쁜 언니들과 하드코어,,,,(주)영화사가을,2024-02-08,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
흑인과하고싶은섹시한지원,김레이,스마일컨텐츠,,스마일컨텐츠,2023-11-24,개봉영화,장편,한국,1,1000,1,0,0,성인물(에로),청소년관람불가,일반영화
흑인과하고싶은섹시한지원-무삭제,김레이,스마일컨텐츠,,스마일컨텐츠,2024-02-20,개봉영화,장편,한국,1,1000,1,0,0,성인물(에로),청소년관람불가,일반영화
흥건한 며느리와 대물 시아버지,,(주)코빈커뮤니케이션즈,,(주)코빈커뮤니케이션즈,2024-01-03,개봉영화,장편,한국,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
1+1 맛 좋은 골뱅이,,(주)샤이커뮤니케이션즈,,(주)샤이커뮤니케이션즈,2024-01-18,개봉영화,장편,한국,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
100프로 예약제 여성전용 마사지샵의 비밀,,,,(주)두리컴미디어,2024-03-04,개봉영화,장편,한국,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
2대1 나눠먹기 무삭제,지아민,(주)영화사가을,,(주)영화사가을,2024-02-02,개봉영화,장편,한국,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
2대1 여친 팔아먹기 2,,(주)영화사가을,,(주)영화사가을,2024-02-17,개봉영화,장편,한국,1,6000,1,0,0,,청소년관람불가,일반영화
3대1은 처음이지? 2,,,,주식회사 루믹스미디어,2024-01-19,개봉영화,장편,한국,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
MBTI E 정열섹스녀연주의첫경험,김레이,,,스마일컨텐츠,2024-01-29,개봉영화,장편,한국,1,1000,1,0,0,성인물(에로),청소년관람불가,일반영화
MBTI E 정열섹스녀연주의첫경험-무삭제,김레이,,,스마일컨텐츠,2024-03-13,개봉영화,장편,한국,1,1000,1,0,0,성인물(에로),청소년관람불가,일반영화
MT 가서 맛본 거유 여후배,강현성,(주)샤이커뮤니케이션즈,,(주)샤이커뮤니케이션즈,2023-11-10,개봉영화,장편,한국,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
VR 요즘 애들 섹스하는 법,,(주)두리컴미디어,,(주)두리컴미디어,2024-04-26,개봉영화,장편,한국,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
범죄도시3,이상용,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트",,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",2023-05-31,개봉영화,장편,한국,2582,1.04688E+11,10682813,22152818269,2215433,범죄,15세이상관람가,일반영화
밀수,류승완,(주)외유내강,,(주)넥스트엔터테인먼트월드(NEW),2023-07-26,개봉영화,장편,한국,1932,49681254003,5142702,10714067316,1082153,액션,15세이상관람가,일반영화
콘크리트 유토피아,엄태화,"클라이맥스 스튜디오(주),(주)비에이치 엔터테인먼트",,롯데컬처웍스(주)롯데엔터테인먼트,2023-08-09,개봉영화,장편,한국,1731,37387836232,3847041,8918447541,894311,드라마,15세이상관람가,일반영화
천박사 퇴마 연구소: 설경의 비밀,김성식,(주)외유내강,,(주)씨제이이엔엠,2023-09-27,개봉영화,장편,한국,1511,18616278692,1914020,4200605786,425787,판타지,12세이상관람가,일반영화
30일,남대중,(주)영화사울림,,(주)마인드마크,2023-10-03,개봉영화,장편,한국,1226,18306995855,1861665,4272347671,426286,코미디,12세이상관람가,일반영화
잠,유재선,(주)루이스 픽쳐스,,롯데컬처웍스(주)롯데엔터테인먼트,2023-09-06,개봉영화,장편,한국,1231,13816661288,1462467,3708752182,385832,미스터리,15세이상관람가,일반영화
달짝지근해: 7510,이한,(주)무비락,,(주)마인드마크,2023-08-15,개봉영화,장편,한국,884,13432972901,1386474,2731175483,276753,코미디,12세이상관람가,일반영화
비공식작전,김성훈,"(주)와인드업필름,와이낫필름",,(주)쇼박스,2023-08-02,개봉영화,장편,한국,1151,9781885404,1015453,2104228583,211335,드라마,12세이상관람가,일반영화
1947 보스톤,강제규,"(주)비에이엔터테인먼트,(주)빅픽쳐",,"롯데컬처웍스(주)롯데엔터테인먼트,(주)콘텐츠지오,주식회사 에이투지엔터테인먼트",2023-09-27,개봉영화,장편,한국,1282,9207259580,991281,2304307955,240867,드라마,12세이상관람가,일반영화
귀공자,박훈정,"(주)영화사 금월,(주)스튜디오앤뉴",,(주)넥스트엔터테인먼트월드(NEW),2023-06-21,개봉영화,장편,한국,966,6703071465,682742,1626471729,162939,액션,청소년관람불가,일반영화
드림,이병헌,"(주)옥토버시네마,(주)노브레이크필름",,플러스엠 엔터테인먼트,2023-04-26,개봉영화,장편,한국,1285,5633598745,589218,1328417293,131473,코미디,12세이상관람가,일반영화
더 문,김용화,"씨제이이엔엠 스튜디오스 주식회사,블라드스튜디오",,(주)씨제이이엔엠,2023-08-02,개봉영화,장편,한국,1187,4893985038,486060,1447945116,132243,SF,12세이상관람가,일반영화
타겟,박희곤,(주)영화사피어나,,플러스엠 엔터테인먼트,2023-08-30,개봉영화,장편,한국,986,4002512694,424802,886165277,91907,스릴러,15세이상관람가,일반영화
거미집,김지운,앤솔로지스튜디오(주),,(주)바른손이앤에이,2023-09-27,개봉영화,장편,한국,1058,3002110348,313540,1013627343,104561,코미디,15세이상관람가,일반영화
화란,김창훈,(주)사나이픽처스,,플러스엠 엔터테인먼트,2023-10-11,개봉영화,장편,한국,976,2457632608,255023,600279959,61135,드라마,15세이상관람가,일반영화
용감한 시민,박진표,"스튜디오엔(주),볼미디어(주)",,(주)마인드마크,2023-10-25,개봉영화,장편,한국,887,1856148829,202133,409374047,43602,액션,15세이상관람가,일반영화
가문의 영광: 리턴즈,"정태원,정용기",(주)태원엔터테인먼트,,(주)넥스트엔터테인먼트월드(NEW),2023-09-21,개봉영화,장편,한국,823,1603946160,167164,282473277,29353,코미디,15세이상관람가,일반영화
극장판 슈퍼윙스: 맥시멈 스피드,정길훈,(주)퍼니플럭스,,(주)넥스트엔터테인먼트월드(NEW),2023-07-20,개봉영화,장편,한국,407,1191803519,135934,220161255,24155,애니메이션,전체관람가,일반영화
보호자,정우성,(주)영화사테이크,,(주)에이스메이커무비웍스,2023-08-15,개봉영화,장편,한국,685,1234961700,128084,337910129,33035,액션,15세이상관람가,일반영화
문재인입니다,이창재,다이스필름(주),,유한회사 엠프로젝트,2023-05-10,개봉영화,장편,한국,602,1133443035,116934,389327332,40454,다큐멘터리,12세이상관람가,독립/예술영화
옥수역귀신,정용기,(주)영화사조아,,(주)스마일이엔티,2023-04-19,개봉영화,장편,한국,314,1111161700,101398,204437800,18003,공포(호러),15세이상관람가,일반영화
화사한 그녀,이승준,"(주)신영이엔씨,(주)제이앤씨미디어그룹",,"(주)제이앤씨미디어그룹,(주)스튜디오 산타클로스엔터테인먼트",2023-10-11,개봉영화,장편,한국,414,878620500,94868,229564900,24320,코미디,12세이상관람가,일반영화
아이유 콘서트 : 더 골든 아워,,,,씨제이 씨지브이(CJ CGV)(주),2023-09-13,개봉영화,장편,한국,63,2050388000,87628,920565000,39102,공연,전체관람가,일반영화
악마들,김재훈,(주)콘텐츠지,,TCO(주)더콘텐츠온,2023-07-05,개봉영화,장편,한국,613,798202273,79688,171214593,16709,액션,청소년관람불가,일반영화
신체모음.zip,"최원경,전병덕,이광진,지삼,김장미,서형우","(주)싸이더스,주식회사 헤이데이프로덕션,무비파킹 주식회사",,"(주)스튜디오디에이치엘,(주)싸이더스",2023-08-30,개봉영화,장편,한국,269,576492200,62287,132770800,15007,공포(호러),15세이상관람가,독립/예술영화
핑크퐁 시네마 콘서트3 : 진저브레드맨을 잡아라,변희선,더핑크퐁컴퍼니(주),,더핑크퐁컴퍼니(주),2023-07-26,개봉영화,장편,한국,128,522687100,60626,90604000,10353,애니메이션,전체관람가,독립/예술영화
런닝맨: 리벤져스,엄영식,(주)로커스,,(주)넥스트엔터테인먼트월드(NEW),2023-08-10,개봉영화,장편,한국,221,453221800,53890,76477500,9495,애니메이션,전체관람가,독립/예술영화
수라,황윤,"스튜디오두마,미디어나무(주)",,"스튜디오두마,미디어나무(주),스튜디오 에이드",2023-06-21,개봉영화,장편,한국,136,406601124,47571,150950666,17023,다큐멘터리,전체관람가,독립/예술영화
"2022 영탁 단독 콘서트 ""탁쇼""",송승연,씨제이 씨지브이(CJ CGV)(주),,씨제이 씨지브이(CJ CGV)(주),2023-06-28,개봉영화,장편,한국,72,1017054000,42384,313654500,13070,공연,전체관람가,일반영화
바람 따라 만나리 : 김호중의 계절,오윤동,씨제이포디플렉스 주식회사,,"씨제이포디플렉스 주식회사,CGV ICECON",2023-10-18,개봉영화,장편,한국,78,931921500,40391,342134500,14741,공연,전체관람가,일반영화
리바운드,장항준,"(주)비에이엔터테인먼트,워크하우스컴퍼니(주)",,(주)바른손이앤에이,2023-04-05,개봉영화,장편,한국,1154,358817924,39697,118214371,12670,드라마,12세이상관람가,일반영화
롱디,임재완,"트웰브져니(주),바젤레브스프로덕션",,(주)넥스트엔터테인먼트월드(NEW),2023-05-10,개봉영화,장편,한국,262,302830500,35916,104903000,12516,멜로/로맨스,12세이상관람가,일반영화
아버지의 마음,김상철,파이오니아21,,"(주)드림팩트엔터테인먼트,파이오니아21",2023-07-20,개봉영화,장편,한국,85,273928906,27334,89527701,8838,다큐멘터리,전체관람가,일반영화
괴담만찬,"안상훈,윤은경,김용균,임대웅,채여준","(주)스튜디오투유,(주)아이뉴컴퍼니",,"TCO(주)더콘텐츠온,(주)블루라벨픽쳐스,(주)대교 미디어콘텐츠사업본부",2023-10-18,개봉영화,옴니버스,한국,162,215591996,26804,63269446,8091,공포(호러),15세이상관람가,일반영화
스트리머,장형모,"하이컨셉픽쳐스(주),(주)파이브데이",,"TCO(주)더콘텐츠온,(주)블루라벨픽쳐스",2023-05-10,개봉영화,장편,한국,181,198703100,22111,51737600,5599,공포(호러),15세이상관람가,일반영화
빈틈없는 사이,이우철,(주)갤리온엔터테인먼트,,"(주)갤리온엔터테인먼트,영화로운 형제",2023-07-05,개봉영화,장편,한국,291,191595710,20926,76774055,8073,멜로/로맨스,15세이상관람가,일반영화
킬링 로맨스,이원석,"(주)영화사 이창,쇼트케이크(주)",,롯데컬처웍스(주)롯데엔터테인먼트,2023-04-14,개봉영화,장편,한국,998,193653900,20421,129947516,12902,코미디,15세이상관람가,일반영화
치악산,김선웅,(주)도호 엔터테인먼트,,와이드 릴리즈(주),2023-09-13,개봉영화,장편,한국,220,175734250,19852,45836100,5319,공포(호러),15세이상관람가,독립/예술영화
치치핑핑의 쿵쿵따 탐험대,이광범,(주)에픽캔,,(주)에픽캔,2023-04-10,개봉영화,장편,한국,4,108130300,17902,11279500,1876,공연,전체관람가,일반영화
비밀의 언덕,이지은,오스프링 필름,,(주)엣나인필름,2023-07-12,개봉영화,장편,한국,56,126095293,15921,82717690,9561,기타,전체관람가,독립/예술영화
듣보인간의 생존신고,"권하정,김아현",(주)에이치더블유,,(주)시네마달,2023-09-06,개봉영화,장편,한국,93,134568541,13988,64950273,6416,다큐멘터리,전체관람가,독립/예술영화
지옥만세,임오정,한국영화아카데미,,찬란,2023-08-16,개봉영화,장편,한국,65,117307259,13966,70601109,7758,어드벤처,12세이상관람가,독립/예술영화
오픈 더 도어,장항준,㈜컨텐츠랩 비보,,"(주)콘텐츠판다,(주)비에이엔터테인먼트",2023-10-25,개봉영화,장편,한국,213,112603400,13956,44006000,5505,미스터리,15세이상관람가,일반영화
나는 여기에 있다,신근호,(주)미학인우주선,,와이드 릴리즈(주),2023-04-12,개봉영화,장편,한국,122,101261000,13758,9768000,1296,범죄,15세이상관람가,일반영화
라방,최주연,영화사올(주),,(주)트리플픽쳐스,2023-06-28,개봉영화,장편,한국,282,122980128,13647,46259247,5319,스릴러,청소년관람불가,독립/예술영화
좋.댓.구,박상민,(주)영화사 업,,"트윈플러스파트너스(주),(주)키다리스튜디오",2023-07-12,개봉영화,장편,한국,146,118473964,13376,58330946,6483,코미디,15세이상관람가,독립/예술영화
드림팰리스,가성문,㈜인디스토리,,㈜인디스토리,2023-05-31,개봉영화,장편,한국,75,86112204,12087,48841378,6293,드라마,12세이상관람가,독립/예술영화
비닐하우스,이솔희,한국영화아카데미,,(주)트리플픽쳐스,2023-07-26,개봉영화,장편,한국,78,91592476,10923,51854519,6005,범죄,15세이상관람가,독립/예술영화
"뮤지컬 공연실황, 알쏭달쏭 캐치! 티니핑 <신비한 상자를 열어라!>","홍승희,신승환",씨제이 씨지브이(CJ CGV)(주),,"씨제이 씨지브이(CJ CGV)(주),CGV ICECON",2023-05-03,개봉영화,장편,한국,64,117266600,9982,34336100,2855,공연,전체관람가,일반영화
그 여름,한지원,레드독컬처하우스,,판씨네마(주),2023-06-07,개봉영화,장편,한국,93,87167847,9229,53667750,5439,애니메이션,12세이상관람가,독립/예술영화
너와 나,조현철,주식회사 필름영,,"주식회사 필름영,그린나래미디어(주)",2023-10-25,개봉영화,장편,한국,76,90910098,9064,65360303,6346,드라마,12세이상관람가,독립/예술영화
"자우림, 더 원더랜드","김지환,허민",써티세븐스디그리(주),,"메가박스중앙(주),써티세븐스디그리(주)",2023-06-07,개봉영화,장편,한국,109,88306269,8601,60028315,5511,다큐멘터리,전체관람가,독립/예술영화
강다니엘: 마이 퍼레이드,박재석,(주)위즈온센,,"씨제이 씨지브이(CJ CGV)(주),(주)위즈온센",2023-08-30,개봉영화,장편,한국,26,158654500,7933,103098000,5155,공연,전체관람가,일반영화
스프린터,최승연,영화사 만화경,,스튜디오 에이드,2023-05-24,개봉영화,장편,한국,48,62777980,7647,36943781,4342,드라마,12세이상관람가,독립/예술영화
비의도적 연애담 스페셜,장의순,주식회사 넘버쓰리픽쳐스,,주식회사 넘버쓰리픽쳐스,2023-06-14,개봉영화,장편,한국,23,107713000,7181,92143500,6143,드라마,12세이상관람가,일반영화
탄생,박흥식,"민영화사,가톨릭문화원 ALMA ART",,"씨제이 씨지브이(CJ CGV)(주),(주)레드아이스 엔터테인먼트",2022-11-30,개봉영화,장편,한국,670,45721279,6580,3340581,373,드라마,12세이상관람가,일반영화
폭로,홍용호,(주)로그라인스튜디오,,(주)메리크리스마스,2023-09-20,개봉영화,장편,한국,145,51623600,6133,18605200,2321,범죄,12세이상관람가,독립/예술영화
두 사람을 위한 식탁,김보람,킴프로덕션,,필름다빈,2023-10-25,개봉영화,장편,한국,37,43488556,5947,22236806,2662,다큐멘터리,12세이상관람가,독립/예술영화
서태지 25주년 라이브 타임: 트래블러,서태지,,,씨제이 씨지브이(CJ CGV)(주),2023-09-06,개봉영화,장편,한국,44,118467500,5924,63316000,3166,공연,전체관람가,일반영화
차박- 살인과 낭만의 밤,형인혁,"(주)타이거스튜디오,오픈시네마",,(주)디스테이션,2023-09-13,개봉영화,장편,한국,90,51673696,5678,25716818,2762,스릴러,15세이상관람가,독립/예술영화
어디로 가고 싶으신가요,김희정,(주)인벤트스톤,,(주)디스테이션,2023-07-05,개봉영화,장편,한국,89,47097416,5586,17857956,1971,드라마,12세이상관람가,독립/예술영화
다음 소희,정주리,"트윈플러스파트너스(주),크랭크업필름(주)",,트윈플러스파트너스(주),2023-02-08,개봉영화,장편,한국,562,49260000,5481,9711000,1075,드라마,15세이상관람가,독립/예술영화
영웅,윤제균,"(주)제이케이필름,(주)씨제이이엔엠",,(주)씨제이이엔엠,2022-12-21,개봉영화,장편,한국,1314,34906000,5237,5447000,685,드라마,12세이상관람가,일반영화
믿을 수 있는 사람,곽은미,한국영화아카데미,,찬란,2023-10-18,개봉영화,장편,한국,62,43854272,4996,24031344,2631,드라마,12세이상관람가,독립/예술영화
슈가: 로드 투 디데이,박준수,(주)하이브,,"롯데컬처웍스(주)롯시플,(주)영화사 그램",2023-06-16,개봉영화,장편,한국,80,94042500,4563,49562500,2395,다큐멘터리,12세이상관람가,일반영화
제이홉 인 더 박스,박준수,(주)하이브,,"롯데컬처웍스(주)롯시플,(주)영화사 그램",2023-06-16,개봉영화,장편,한국,80,85413500,4162,46382500,2252,다큐멘터리,12세이상관람가,일반영화
익스트림 페스티벌,김홍기,"(주)비리프,(주)실버라이닝 스튜디오",,트윈플러스파트너스(주),2023-06-07,개봉영화,장편,한국,42,35320331,4093,23149655,2557,코미디,12세이상관람가,독립/예술영화
퀴어 마이 프렌즈,서아현,시소픽쳐스,,(주)영화사 그램,2023-08-09,개봉영화,장편,한국,38,34602406,3942,24052006,2598,다큐멘터리,12세이상관람가,독립/예술영화
거신: 바람의 아이,신창섭,(주)그리메,,트윈플러스파트너스(주),2023-05-18,개봉영화,장편,한국,77,31850077,3904,16356595,2077,애니메이션,전체관람가,일반영화
울지마 엄마,이호경,"KBS,(주)드림팩트엔터테인먼트",,주식회사 원더스튜디오,2023-05-17,개봉영화,장편,한국,99,28886000,3829,9758100,1401,다큐멘터리,전체관람가,독립/예술영화
다섯 번째 흉추,박세영,,,㈜인디스토리,2023-08-02,개봉영화,장편,한국,43,32138203,3739,19519353,2165,드라마,15세이상관람가,독립/예술영화
물꽃의 전설,고희영,,,(주)영화사 진진,2023-08-30,개봉영화,장편,한국,33,31290883,3658,17494333,1991,다큐멘터리,전체관람가,독립/예술영화
절해고도,김미영,보리와 오디 영화사,,"아이 엠,무브먼트",2023-09-27,개봉영화,장편,한국,36,29741100,3326,21484861,2282,드라마,12세이상관람가,독립/예술영화
로보카폴리 안전교실 교통편,엄준영,(주)로이비쥬얼,,(주)로이비쥬얼,2022-09-19,개봉영화,장편,한국,16,19877000,3304,4814000,803,애니메이션,전체관람가,일반영화
그녀의 취미생활,하명미,웬에버스튜디오,,(주)트리플픽쳐스,2023-08-30,개봉영화,장편,한국,52,29529412,3302,16957856,1879,미스터리,15세이상관람가,독립/예술영화
우리의 하루,홍상수,(주)영화제작전원사,,"(주)영화제작전원사 ,(주)콘텐츠판다",2023-10-19,개봉영화,장편,한국,47,30044290,3158,23086990,2387,드라마,12세이상관람가,독립/예술영화
말이야 바른 말이지,"김소형,박동훈,최하나,송현주,한인미,윤성호","서울독립영화제,씨에스픽쳐스",,서울독립영화제,2023-05-17,개봉영화,옴니버스,한국,34,24610082,2943,14309082,1515,코미디,전체관람가,독립/예술영화
번개맨: 더 비기닝,"한상호,박성배",한국교육방송공사 EBS,,"(주)드림팩트엔터테인먼트,(주)빅브라더스",2023-09-20,개봉영화,장편,한국,181,24575067,2694,4994800,487,애니메이션,전체관람가,독립/예술영화
마마무: 마이콘 더 무비,임재경,드림엔진스튜디오 주식회사,,(주)위즈온센,2023-06-21,개봉영화,장편,한국,21,48225500,2412,27647000,1383,공연,전체관람가,일반영화
206: 사라지지 않는,허철녕,필름소나,,찬란,2023-06-21,개봉영화,장편,한국,26,22619406,2359,14625928,1435,다큐멘터리,12세이상관람가,독립/예술영화
작은정원,이마리오,아나레스,,(주)시네마달,2023-07-12,개봉영화,장편,한국,20,16574800,2357,9703500,1374,다큐멘터리,전체관람가,독립/예술영화
잔고: 분노의 적자,백승기,꾸러기스튜디오,,(주)영화사 그램,2023-09-13,개봉영화,장편,한국,42,18906045,2160,13595906,1473,서부극(웨스턴),12세이상관람가,독립/예술영화
박하경 여행기,이종필,더램프(주),,씨제이 씨지브이(CJ CGV)(주),2023-06-07,개봉영화,장편,한국,34,21235800,2084,10589200,1029,드라마,전체관람가,일반영화
인드림,신재호,"(주)넘버나인엔터,(주)작가공작소",,주식회사 원더스튜디오,2023-06-21,개봉영화,장편,한국,45,14933750,2005,11607750,1611,액션,청소년관람불가,독립/예술영화
프리 철수 리,"하줄리,이성민",,,커넥트픽쳐스(주),2023-10-18,개봉영화,장편,한국,59,18698500,1905,13547400,1364,다큐멘터리,12세이상관람가,독립/예술영화
만해 한용운 님의침묵,한명구,주식회사 시네마서울,,시네마 뉴원,2023-06-29,개봉영화,장편,한국,10,21566949,1799,10715099,905,드라마,15세이상관람가,일반영화
아임 히어로 더 파이널,오윤동,씨제이포디플렉스 주식회사,,"씨제이포디플렉스 주식회사,CGV ICECON",2023-03-01,개봉영화,장편,한국,146,41676000,1737,18235500,760,공연,전체관람가,일반영화
실버맨,최윤호,(주)알투디투스튜디오,,(주)이놀미디어,2023-06-14,개봉영화,장편,한국,10,9213600,1608,5331100,999,드라마,12세이상관람가,독립/예술영화
웅남이,박성광,(주)영화사김치,,씨제이 씨지브이(CJ CGV)(주),2023-03-22,개봉영화,장편,한국,829,8913400,1429,485900,53,코미디,15세이상관람가,일반영화
몸값part.1,전우성,"주식회사 티빙,에스엘엘,클라이맥스 스튜디오(주)",,메가박스중앙(주),2023-07-05,개봉영화,장편,한국,54,13274613,1357,7448159,728,스릴러,청소년관람불가,일반영화
너의 순간,이상준,후앤유아츠(주),,영화로운 형제,2023-08-16,개봉영화,장편,한국,26,11297550,1319,6707250,728,멜로/로맨스,12세이상관람가,독립/예술영화
바람개비,이상훈,(주)오예스,,(주)디스테이션,2023-05-10,개봉영화,장편,한국,36,11959927,1284,8596500,919,액션,청소년관람불가,일반영화
몸값part.2,전우성,"주식회사 티빙,에스엘엘,클라이맥스 스튜디오(주),파라마운트 글로벌 컨텐츠 디스트리뷰션 그룹",,메가박스중앙(주),2023-07-05,개봉영화,장편,한국,48,10943283,1147,5369927,555,스릴러,청소년관람불가,일반영화
"안녕, 내일 또 만나",백승빈,(주)루이스 픽쳐스,,"(주)영화사 안다미로,영화로운 형제",2023-09-13,개봉영화,장편,한국,21,10518223,1147,8718467,893,드라마,12세이상관람가,독립/예술영화
플레이 뮤지컬 핑크퐁과 아기상어의 생일파티 대소동,김민석,더핑크퐁컴퍼니(주),,씨제이 씨지브이(CJ CGV)(주),2023-05-17,개봉영화,장편,한국,27,13850500,1134,6117000,453,공연,전체관람가,일반영화
뮤지컬 윌리엄과 윌리엄의 윌리엄들,김은영,한국문화예술위원회,,주식회사 푸른잎커뮤니케이션,2023-06-28,개봉영화,장편,한국,9,22543000,1128,15780000,789,공연,12세이상관람가,일반영화
안나푸르나,황승재,주식회사인시즌,,시네마 뉴원,2023-06-08,개봉영화,장편,한국,16,8435856,1091,6876356,749,드라마,전체관람가,독립/예술영화
2022 심규선 단독 콘서트 [밤의 정원: 앙코르],이승남,(주)영화사 그램,,(주)영화사 그램,2023-07-08,개봉영화,장편,한국,1,21027000,906,14809000,594,공연,전체관람가,일반영화
피아노 프리즘,오재형,,,필름다빈,2023-08-30,개봉영화,장편,한국,17,6927200,856,3994900,473,다큐멘터리,전체관람가,독립/예술영화
아머드 사우루스: 기계공룡제국의 침략,강대일,대원미디어(주),,트윈플러스파트너스(주),2023-04-20,개봉영화,장편,한국,236,6707200,756,3144000,294,애니메이션,전체관람가,일반영화
나비효과,"민준기,전원창",(주)메타월드,,시네마 뉴원,2023-06-22,개봉영화,장편,한국,29,6533500,718,4726500,465,코미디,12세이상관람가,일반영화
물안에서,홍상수,(주)영화제작전원사,,"(주)영화제작전원사 ,(주)콘텐츠판다",2023-04-12,개봉영화,장편,한국,61,5943500,686,4771500,528,드라마,12세이상관람가,독립/예술영화
마인드 유니버스,김진무,"굿인스토리,(주)인벤트스톤",,영화사빅,2023-09-20,개봉영화,장편,한국,12,5396000,629,4078700,440,SF,12세이상관람가,독립/예술영화
너의 시선이 머무는 곳에,황다슬,"(주)더블유스토리,주식회사 에너제딕컴퍼니",,씨제이 씨지브이(CJ CGV)(주),2023-09-06,개봉영화,장편,한국,14,8877000,592,7182000,479,드라마,12세이상관람가,일반영화
사랑의 고고학,이완민,"(주)맑은시네마,영화사 잠",,"(주)맑은시네마,(주)엣나인필름",2023-04-12,개봉영화,장편,한국,42,4190000,528,2503000,300,드라마,15세이상관람가,독립/예술영화
뮤지컬 더 데빌 2021,조윤수,씨제이 씨지브이(CJ CGV)(주),,씨제이 씨지브이(CJ CGV)(주),2023-05-11,개봉영화,장편,한국,10,10268500,526,7429500,384,공연,15세이상관람가,일반영화
연악: 나의 운명,박한열,주식회사 도화원엔터테인먼트,,시네마 뉴원,2023-08-10,개봉영화,장편,한국,7,3616800,507,2746500,354,사극,전체관람가,독립/예술영화
