영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
비욘드 라이브 더 무비?-?태민?:?엔.지.디.에이,,,,씨제이 씨지브이(CJ CGV)(주),2023-11-29,개봉영화,장편,한국,30,55026000,3335,36299000,2200,공연,전체관람가,일반영화
매트,최지온,액츠픽쳐스,,시네마 뉴원,2023-11-30,개봉영화,장편,한국,9,37835156,3175,23813756,2003,미스터리,12세이상관람가,독립/예술영화
은하수,최정한,(주)허그아이엔티엘,,(주)영화특별시에스엠씨,2024-04-10,개봉영화,장편,한국,49,29127600,3067,15136600,1541,드라마,12세이상관람가,독립/예술영화
정순,정지혜,시네마루,,(주)더쿱디스트리뷰션,2024-04-17,개봉영화,장편,한국,44,26855539,2977,18356139,1973,드라마,15세이상관람가,독립/예술영화
치치핑핑의 쿵쿵따 탐험대,이광범,(주)에픽캔,,(주)에픽캔,2023-04-10,개봉영화,장편,한국,4,15628000,2588,2496000,416,공연,전체관람가,일반영화
천박사 퇴마 연구소: 설경의 비밀,김성식,(주)외유내강,,(주)씨제이이엔엠,2023-09-27,개봉영화,장편,한국,1511,19213863,2409,5552584,566,판타지,12세이상관람가,일반영화
5시부터 7시까지의 주희,장건재,(주)모쿠슈라,,"(주)모쿠슈라,㈜인디스토리",2023-11-08,개봉영화,장편,한국,41,19741547,2340,11324767,1281,드라마,12세이상관람가,독립/예술영화
장인과 사위,최이현,"(주)지브라더스 컴퍼니,한류닷컴 주식회사",,주식회사 제이씨엔터웍스,2024-02-15,개봉영화,장편,한국,49,19514660,2146,3875500,447,코미디,12세이상관람가,독립/예술영화
돌들이 말할 때까지,김경만,(주)영화사백호,,"(주)디스테이션,무브먼트",2024-04-17,개봉영화,장편,한국,54,19332199,2058,9590660,982,다큐멘터리,12세이상관람가,독립/예술영화
아줌마,허 슈밍,(주)더웨일컴퍼니,(주)싸이더스,"(주)싸이더스,스튜디오 에이드",2023-11-29,개봉영화,장편,한국,30,15777781,1914,9538873,1078,드라마,12세이상관람가,독립/예술영화
달짝지근해: 7510,이한,(주)무비락,,(주)마인드마크,2023-08-15,개봉영화,장편,한국,884,12547000,1835,414000,46,코미디,12세이상관람가,일반영화
티빙 오리지널 운수 오진 날,필감성,"스튜디오 드래곤,스튜디오엔(주)",,씨제이 씨지브이(CJ CGV)(주),2023-11-17,개봉영화,장편,한국,9,20822500,1797,20822500,1797,스릴러,청소년관람불가,일반영화
독친,김수인,"(주)미스터리픽처스,(주)영화사조아",,(주)트리플픽쳐스,2023-11-01,개봉영화,장편,한국,52,15702811,1748,5253506,496,공포(호러),15세이상관람가,독립/예술영화
아버지의 마음,김상철,파이오니아21,,"(주)드림팩트엔터테인먼트,파이오니아21",2023-07-20,개봉영화,장편,한국,85,16605000,1744,8630000,863,다큐멘터리,전체관람가,일반영화
수운잡방,최연수,"KBS,(주)아센디오",,와이드 릴리즈(주),2023-12-02,개봉영화,장편,한국,11,21709300,1655,19211600,1425,드라마,12세이상관람가,일반영화
그림자 고백,이대경,(주)아센디오,,와이드 릴리즈(주),2023-11-25,개봉영화,장편,한국,7,16877200,1653,16612700,1627,드라마,15세이상관람가,일반영화
백지영 콘서트 인 시네마,조윤수,(주)영화사 그램,,"롯데컬처웍스(주)롯시플,(주)영화사 그램",2023-11-10,개봉영화,장편,한국,47,14346450,1558,8082360,851,공연,전체관람가,일반영화
울산의 별,정기혁,후앤유아츠(주),,영화로운 형제,2024-01-24,개봉영화,장편,한국,21,12960388,1514,9996600,1133,드라마,15세이상관람가,독립/예술영화
탄생,박흥식,"민영화사,가톨릭문화원 ALMA ART",,"씨제이 씨지브이(CJ CGV)(주),(주)레드아이스 엔터테인먼트",2022-11-30,개봉영화,장편,한국,670,8974000,1489,0,0,드라마,12세이상관람가,일반영화
버텨내고 존재하기,권철,,,(주)엣나인필름,2023-11-01,개봉영화,장편,한국,28,15141914,1487,8993814,785,다큐멘터리,전체관람가,독립/예술영화
부활 그 소망,김상철,파이오니아21,,파이오니아21,2024-03-07,개봉영화,장편,한국,26,15687400,1428,3682000,346,다큐멘터리,전체관람가,일반영화
모르는 이야기,양근영,한국영화아카데미,,(주)마노엔터테인먼트,2024-04-24,개봉영화,장편,한국,24,12803200,1289,11321400,1108,판타지,12세이상관람가,독립/예술영화
세월: 라이프 고즈 온,장민경,독바위 프로덕션,,영화배급협동조합 씨네소파,2024-03-27,개봉영화,장편,한국,25,10987600,1278,6609000,733,다큐멘터리,전체관람가,독립/예술영화
화사한 그녀,이승준,"(주)신영이엔씨,(주)제이앤씨미디어그룹",,"(주)제이앤씨미디어그룹,(주)스튜디오 산타클로스엔터테인먼트",2023-10-11,개봉영화,장편,한국,414,10252400,1278,2954500,381,코미디,12세이상관람가,일반영화
벗어날 탈 脫,서보형,사보타지 필름,,영화배급협동조합 씨네소파,2024-02-21,개봉영화,장편,한국,14,9879000,1187,7350000,837,미스터리,15세이상관람가,독립/예술영화
너를 줍다,심혜정,시내필름,,영화로운 형제,2023-11-08,개봉영화,장편,한국,28,10936501,1168,8474951,866,멜로/로맨스,12세이상관람가,독립/예술영화
붉은 장미의 추억,백재호,(주)프로젝트42,,(주)프로젝트42,2023-11-02,개봉영화,장편,한국,5,8992000,1112,5876000,657,드라마,12세이상관람가,독립/예술영화
우당탕탕 운동회,이광범,(주)니즈텔레콤,,(주)니즈텔레콤,2024-04-03,개봉영화,장편,한국,1,6648000,1108,0,0,기타,전체관람가,일반영화
룩앳미 터치미 키스미,"호 유항,제나르 마에사 아유,김태식",필름라인,,시네마 뉴원,2023-12-06,개봉영화,장편,한국,7,8842500,1101,7654000,809,멜로/로맨스,15세이상관람가,독립/예술영화
조폭인 내가 고등학생이 되었습니다,이성택,주식회사 넘버쓰리픽쳐스,,주식회사 넘버쓰리픽쳐스,2024-02-22,개봉영화,장편,한국,16,15582000,1039,13498500,900,판타지,15세이상관람가,일반영화
사랑의 불시착: 라이브 인 서울,박재석,(주)위즈온센,,"(주)위즈온센,씨제이 씨지브이(CJ CGV)(주)",2023-11-30,개봉영화,장편,한국,16,17259500,951,12332000,703,드라마,12세이상관람가,일반영화
다시 김대중-함께 합시다,김진홍,(주)영화사메이플러스,,주식회사 블루필름웍스,2024-03-28,개봉영화,장편,한국,58,8128817,912,3885017,431,다큐멘터리,12세이상관람가,독립/예술영화
