영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
여동생과 은밀한 거래,윤경식,(주)픽쳐레스크,,(주)픽쳐레스크,2020-11-12,개봉영화,장편,한국,1,300000,60,300000,60,성인물(에로),청소년관람불가,일반영화
여동생의 맛,최진철,라임필름,,케이엘 픽쳐스,2020-11-27,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
여자친구의 맛 2,최진철,라임필름,,케이엘 픽쳐스,2020-11-13,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
여자친구의 맛 3,최진철,라임필름,,케이엘 픽쳐스,2020-11-16,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
예쁜 여동생 4,최진철,라임필름,,케이엘 픽쳐스,2021-01-18,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
예쁜 여동생 5,최진철,라임필름,,케이엘 픽쳐스,2021-01-25,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
월간 주부생활,이충범,쇼플렉스,,쇼플렉스,2021-03-02,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
위험한 삼촌들 무삭제판,양호열,(주)라온컴퍼니플러스,,(주)가온콘텐츠,2021-04-06,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
육덕진 제자 무삭제판,한동호,(주)가온콘텐츠,,(주)가온콘텐츠,2021-02-15,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
의붓 여동생 무삭제판,최정자,(주)가온콘텐츠,,(주)가온콘텐츠,2021-04-02,개봉영화,장편,한국,1,300000,60,300000,60,성인물(에로),청소년관람불가,일반영화
이모네 미용실 문 닫는 날,에로핑,(주)가온콘텐츠,,(주)가온콘텐츠,2021-01-25,개봉영화,장편,한국,1,300000,60,300000,60,드라마,청소년관람불가,일반영화
이모네 미용실 문 닫는 날 무삭제판,에로핑,(주)라온컴퍼니플러스,,(주)가온콘텐츠,2021-04-06,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
장난감소녀 섹스어플 중독 무삭제판,노세기,(주)라온컴퍼니플러스,,(주)가온콘텐츠,2021-03-09,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
처제의 은밀한 맛,윤경식,(주)픽쳐레스크,,(주)픽쳐레스크,2020-12-17,개봉영화,장편,한국,1,300000,60,300000,60,성인물(에로),청소년관람불가,일반영화
처제의 은밀한 맛 무삭제,윤경식,(주)픽쳐레스크,,(주)픽쳐레스크,2021-04-22,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
충격 실제정사,최진철,라임필름,,케이엘 픽쳐스,2020-12-21,개봉영화,장편,한국,1,300000,60,300000,60,성인물(에로),청소년관람불가,일반영화
탐스런 옆집아내 무삭제판,한동연,(주)가온콘텐츠,,(주)가온콘텐츠,2021-02-15,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
팽말숙 : 실전주의,정미나,(주)담화,,(주)담화,2020-11-19,개봉영화,장편,한국,1,300000,60,300000,60,성인물(에로),청소년관람불가,일반영화
편의점 알바생 변태사장의교육,한동호,(주)가온콘텐츠,,(주)가온콘텐츠,2020-11-13,개봉영화,장편,한국,1,300000,60,300000,60,드라마,청소년관람불가,일반영화
형수님 막내딸,에로핑,(주)가온콘텐츠,,(주)가온콘텐츠,2021-03-30,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
형수님 막내딸 무삭제판,에로핑,(주)가온콘텐츠,,(주)가온콘텐츠,2021-04-22,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
형수사용설명서,이상영,블루커뮤니케이션,,블루커뮤니케이션,2021-03-01,개봉영화,장편,한국,1,300000,60,300000,60,드라마,청소년관람불가,일반영화
혼숙생활,윤경식,(주)가온콘텐츠,,(주)가온콘텐츠,2021-04-07,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
