,영화명,제작사,전국 관객수,등급,영화구분,흥행,주연배우_흥행비율,director_rank,gr_rank,dis_rank
172,다섯 번째 흉추,279,3739,1,0,N,0.0,179,10,79
173,물꽃의 전설,279,3658,2,0,N,0.0,215,16,66
174,절해고도,190,3326,0,0,N,0.0,217,10,98
175,우리의 하루,97,3158,0,0,N,0.0,207,10,94
176,206: 사라지지 않는,269,2359,0,0,N,0.0,203,16,75
177,작은정원,208,2357,2,0,N,0.0,204,16,71
178,잔고: 분노의 적자,162,2160,0,0,N,0.0,244,19,99
179,인드림,15,2005,3,0,N,0.0,214,4,86
180,만해 한용운 님의침묵,244,1799,1,1,N,0.0,216,10,109
181,아임 히어로 더 파이널,207,1737,2,1,N,0.5,72,15,25
182,실버맨,75,1608,0,0,N,0.0,250,10,87
183,웅남이,87,1429,1,1,N,0.15,54,7,20
184,너의 순간,277,1319,0,0,N,0.0,235,12,104
185,바람개비,98,1284,3,1,N,0.0,238,4,56
186,"안녕, 내일 또 만나",29,1147,0,0,N,0.0,269,10,115
187,안나푸르나,253,1091,2,0,N,0.0,248,10,109
188,아머드 사우루스: 기계공룡제국의 침략,169,756,2,1,N,0.0,166,14,42
189,물안에서,97,686,0,0,N,0.0,207,10,94
190,마인드 유니버스,158,629,0,0,N,0.0,289,11,59
191,너의 시선이 머무는 곳에,16,592,0,1,N,0.0,267,10,20
192,사랑의 고고학,33,528,1,0,N,0.0,230,10,102
193,연악: 나의 운명,242,507,2,0,N,0.0,278,2,109
194,제비,63,492,1,0,N,0.0,236,10,71
195,경미의 세계,273,390,0,0,N,0.0,283,10,42
196,신입사원: 더 무비,254,356,1,0,N,0.0,285,12,123
197,불멸의 여자,248,325,1,0,N,0.0,265,10,118
198,살롱 드 서울,279,311,1,0,N,0.0,292,9,126
199,손,75,305,1,1,N,0.0,250,13,87
200,장기자랑,222,261,0,0,N,0.0,197,16,66
201,그대 어이가리,83,187,0,0,N,0.0,183,10,82
202,튤립 모양,56,169,0,0,N,0.0,279,10,117
203,소울메이트,259,154,0,1,N,0.0,61,10,9
204,레이디,123,143,1,0,N,0.0,303,10,126
205,흐르다,219,126,0,0,N,0.0,226,10,101
206,멍뭉이,101,120,2,1,N,0.0,65,10,22
207,그 노래,214,106,0,0,N,0.0,303,10,126
208,낭만적 공장,257,105,1,0,N,0.06666666666666667,261,12,112
209,육지것들,279,93,1,0,N,0.0,309,7,126
210,여섯 개의 밤,116,92,0,0,N,0.0,253,10,79
211,카운트,135,80,0,1,N,0.5,50,10,6
212,남자는 처음을 원하고 여자는 마지막을 원한다,217,69,0,0,N,0.0,311,12,133
213,오늘 출가합니다,187,67,0,0,N,0.0,169,10,72
214,2퍼센트,216,65,0,0,N,0.0,298,10,109
215,탑,97,31,1,0,N,0.0,207,10,94
216,보이지 않아,247,27,0,1,N,0.0,280,10,119
217,찬란한 나의 복수,240,15,1,0,N,0.0,225,10,100
218,올빼미,65,3329547,1,1,Y,0.7380952380952381,6,8,9
219,영웅,110,3268534,0,1,Y,0.5555555555555555,15,10,6
220,교섭,90,1721100,0,1,Y,0.8888888888888888,13,10,4
221,데시벨,235,901426,0,1,Y,1.0,25,4,10
222,대외비,129,752559,1,1,Y,0.5833333333333334,26,1,4
223,유령,171,664146,1,1,Y,0.6944444444444443,29,10,6
224,리바운드,52,646596,0,1,Y,0.39999999999999997,52,10,13
225,압꾸정,243,608639,0,1,Y,0.8888888888888888,30,7,3
226,드림,100,538862,0,1,Y,0.9166666666666666,32,7,4
227,동감,5,489898,0,1,Y,0.8333333333333334,35,12,20
228,자백,180,453599,1,1,Y,0.5555555555555555,41,1,8
229,스위치,137,399162,0,1,Y,0.7777777777777777,40,9,8
230,카운트,135,397223,0,1,Y,0.5,50,10,6
231,탄생,188,348108,0,1,Y,0.2619047619047619,59,10,17
232,웅남이,87,312723,1,1,N,0.15,54,7,20
233,아임 히어로 더 파이널,207,248965,2,1,Y,0.5,72,15,25
234,소울메이트,259,231103,0,1,N,0.0,61,10,9
235,젠틀맨,128,224718,1,1,N,0.16666666666666666,47,1,4
236,멍뭉이,101,194271,2,1,N,0.0,65,10,22
237,킬링 로맨스,86,171121,1,1,N,0.3055555555555555,66,7,8
238,마루이 비디오,47,165822,1,1,N,0.0,53,3,14
239,리멤버,85,154866,1,1,N,0.25,49,10,12
240,옥수역귀신,93,154798,1,1,N,0.0,57,13,16
241,다음 소희,262,111519,1,0,N,0.1111111111111111,71,10,42
242,인생은 아름다워,171,97829,0,1,N,0.5,31,5,8
243,방탄소년단: 옛 투 컴 인 시네마,207,92369,2,1,N,0.0,72,15,23
244,핑크퐁 시네마 콘서트 2: 원더스타 콘서트 대작전,172,50204,2,0,N,0.0,73,14,9
245,공조2: 인터내셔날,110,30531,1,1,N,0.626984126984127,5,4,6
246,고속도로 가족,82,23825,1,0,N,0.1111111111111111,91,10,20
247,유포자들,146,23721,1,1,N,0.0,92,1,47
248,크리스마스 캐럴,141,23211,3,0,N,0.1111111111111111,3,10,56
249,한산 리덕스,53,19314,0,1,N,0.3277777777777778,7,4,8
250,어쩌면 우린 헤어졌는지 모른다,2,18354,0,0,N,0.0,103,10,51
251,심야카페: 미씽 허니,117,13682,0,1,N,0.06666666666666667,110,12,51
252,헤이지니&럭키강이 비밀의 문,79,13642,2,1,N,0.0,112,15,45
253,우리 사랑이 향기로 남을 때,19,12364,1,1,N,0.08333333333333333,117,12,49
254,헤어질 결심,184,11560,1,1,N,0.3666666666666667,24,3,6
255,시간을 꿈꾸는 소녀,138,11011,0,0,N,0.0,124,16,55
