,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,director_rank,gr_rank,dis_rank,영화형태_단편,영화형태_옴니버스,영화형태_장편,영화구분_독립/예술영화,영화구분_일반영화,등급_12세이상관람가,등급_15세이상관람가,"등급_연소자관람불가,청소년관람불가",등급_전체관람가,등급_청소년관람불가
0,2328,127927000000.0,13128022,29336996104,2956527,3.0,9.0,4.0,0,0,1,0,1,1,0,0,0,0
1,2355,114631000000.0,11860088,26825097498,2707856,1.0,4.0,3.0,0,0,1,0,1,0,1,0,0,0
2,2980,47570156254.0,5005512,9997331476,1015411,4.0,2.0,1.0,0,0,1,0,1,0,1,0,0,0
3,2196,45002693027.0,4572561,9860710267,970404,7.0,3.0,2.0,0,0,1,0,1,1,0,0,0,0
4,1272,16114821097.0,1706676,3304172645,343519,16.0,9.0,3.0,0,0,1,0,1,0,1,0,0,0
5,1390,13792326337.0,1430121,3321420005,330032,19.0,14.0,6.0,0,0,1,0,1,1,0,0,0,0
6,224,10882262514.0,1171207,3245676032,349078,46.0,15.0,9.0,0,0,1,0,1,1,0,0,0,0
7,1228,9227928211.0,971096,2457477866,245936,26.0,1.0,15.0,0,0,1,0,1,0,1,0,0,0
8,863,4916115417.0,524828,1087727701,114759,51.0,5.0,3.0,0,0,1,0,1,1,0,0,0,0
9,1042,4303729586.0,452858,863053636,88316,56.0,9.0,6.0,0,0,1,0,1,0,1,0,0,0
10,917,3748567012.0,400651,1359848882,139476,62.0,18.0,7.0,0,0,1,0,1,1,0,0,0,0
11,850,3528993203.0,386814,451402165,46970,64.0,10.0,43.0,0,0,1,0,1,0,0,0,1,0
12,847,3474313608.0,357026,835943314,82335,67.0,9.0,6.0,0,0,1,0,1,1,0,0,0,0
13,729,3070917943.0,344904,764110416,85855,68.0,9.0,7.0,0,0,1,1,0,1,0,0,0,0
14,1226,2772834894.0,285237,682448187,68736,23.0,7.0,10.0,0,0,1,0,1,1,0,0,0,0
15,800,2257546704.0,236661,514590306,52144,72.0,1.0,4.0,0,0,1,0,1,0,1,0,0,0
16,342,1520790690.0,179110,267241920,30260,87.0,10.0,7.0,0,0,1,0,1,0,0,0,1,0
17,414,1094907609.0,114077,337783602,34701,149.0,15.0,27.0,0,0,1,1,0,1,0,0,0,0
18,546,973948873.0,101636,308364559,31582,109.0,8.0,28.0,0,0,1,0,1,0,1,0,0,0
20,370,628774015.0,67840,120423064,12662,124.0,10.0,8.0,0,0,1,0,1,0,0,0,1,0
21,887,588872643.0,64683,95091041,10340,98.0,2.0,10.0,0,0,1,0,1,0,1,0,0,0
22,239,375383300.0,43300,73190600,8985,84.0,2.0,44.0,0,0,1,0,1,0,0,0,0,1
23,522,377395575.0,42425,111494655,12289,142.0,9.0,45.0,0,0,1,0,1,1,0,0,0,0
24,75,936338000.0,41021,505196500,22149,170.0,16.0,43.0,0,0,1,0,1,0,0,0,1,0
25,409,354647735.0,38225,111159024,12169,147.0,12.0,7.0,0,0,1,0,1,0,1,0,0,0
26,1282,257211218.0,35652,58122458,7764,54.0,9.0,11.0,0,0,1,0,1,1,0,0,0,0
27,261,257124930.0,34001,57448930,7613,152.0,10.0,8.0,0,0,1,0,1,0,0,0,1,0
28,88,911582500.0,31808,528521500,18372,141.0,16.0,66.0,0,0,1,0,1,1,0,0,0,0
30,98,244941972.0,29263,81800442,9670,158.0,15.0,118.0,0,0,1,1,0,0,0,0,1,0
31,76,280390195.0,29154,219675567,21663,181.0,9.0,62.0,0,0,1,1,0,1,0,0,0,0
32,211,193797300.0,26149,70176500,9015,208.0,2.0,96.0,0,0,1,0,1,0,1,0,0,0
33,118,565607000.0,25641,312321000,14371,162.0,16.0,95.0,0,0,1,0,1,0,0,0,1,0
34,87,555399000.0,25140,256783500,11525,139.0,16.0,61.0,0,0,1,0,1,0,0,0,1,0
35,137,211263752.0,23595,88544473,10250,167.0,15.0,55.0,0,0,1,1,0,1,0,0,0,0
36,201,161867520.0,21830,32401000,4501,174.0,10.0,116.0,0,0,1,0,1,0,0,0,1,0
38,122,147129705.0,16776,48049524,5257,274.0,2.0,119.0,0,0,1,0,1,0,1,0,0,0
39,78,327446500.0,15665,131330000,6329,139.0,16.0,39.0,0,0,1,0,1,0,0,0,1,0
40,47,142189844.0,15366,81091566,8275,196.0,15.0,118.0,0,0,1,1,0,1,0,0,0,0
41,35,124787939.0,12395,45839739,4537,213.0,15.0,133.0,0,0,1,1,0,0,0,0,1,0
42,79,98643852.0,12343,64184248,7529,214.0,9.0,104.0,0,0,1,1,0,0,1,0,0,0
43,123,98588958.0,11831,46183156,5299,263.0,9.0,98.0,0,0,1,1,0,1,0,0,0,0
44,73,107721310.0,11521,63273029,6454,222.0,9.0,84.0,0,0,1,1,0,0,0,0,1,0
45,74,83600606.0,11091,41963137,5239,331.0,2.0,115.0,0,0,1,1,0,1,0,0,0,0
46,305,97328648.0,10752,37520099,3958,231.0,5.0,33.0,0,0,1,0,1,0,1,0,0,0
47,45,80015347.0,10072,39172317,4920,236.0,9.0,89.0,0,0,1,1,0,1,0,0,0,0
48,136,77517000.0,9870,22117000,2766,159.0,15.0,51.0,0,0,1,1,0,0,0,0,1,0
49,68,209630300.0,9456,112965300,5228,239.0,16.0,99.0,0,0,1,0,1,0,0,0,1,0
50,61,64605597.0,8730,38560867,4586,603.0,9.0,120.0,0,0,1,1,0,0,1,0,0,0
51,90,186757000.0,8489,110220000,5010,250.0,16.0,61.0,0,0,1,0,1,0,0,0,1,0
52,976,48057882.0,8064,15804496,2577,99.0,9.0,4.0,0,0,1,0,1,0,1,0,0,0
53,57,64332351.0,7724,34333895,4001,287.0,7.0,135.0,0,0,1,1,0,0,1,0,0,0
54,50,68724386.0,7374,47217547,4999,259.0,15.0,104.0,0,0,1,1,0,0,0,0,1,0
55,1,44242000.0,7367,3894000,649,278.0,6.0,121.0,0,0,1,0,1,0,0,0,1,0
56,77,59838539.0,7075,14533200,1711,264.0,8.0,132.0,0,0,1,0,1,0,0,0,0,1
57,42,61398808.0,7060,30951678,3375,265.0,15.0,106.0,0,0,1,1,0,0,0,0,1,0
58,126,66190305.0,6530,33909102,3198,270.0,4.0,83.0,0,0,1,0,1,0,0,0,0,1
59,54,138364500.0,6496,91708500,4132,443.0,16.0,108.0,0,0,1,0,1,1,0,0,0,0
60,66,50003197.0,6022,23010578,2612,380.0,9.0,103.0,0,0,1,1,0,1,0,0,0,0
61,67,48214539.0,5498,29143139,3140,286.0,9.0,160.0,0,0,1,1,0,1,0,0,0,0
62,213,48328000.0,5246,28405900,2755,89.0,4.0,91.0,0,0,1,0,1,0,1,0,0,0
64,35,40306800.0,4485,25525100,2661,311.0,15.0,177.0,0,0,1,1,0,1,0,0,0,0
65,56,41117939.0,4481,28987139,3150,382.0,9.0,138.0,0,0,1,1,0,1,0,0,0,0
66,118,36999414.0,4253,14630789,1592,322.0,4.0,71.0,0,0,1,0,1,1,0,0,0,0
67,33,34785084.0,3960,24914595,2643,334.0,15.0,63.0,0,0,1,1,0,1,0,0,0,0
68,52,22985011.0,3855,11062016,1841,108.0,12.0,125.0,0,0,1,0,1,0,1,0,0,0
69,20,32057739.0,3784,17172039,1944,342.0,9.0,158.0,0,0,1,1,0,1,0,0,0,0
70,54,31532878.0,3774,13753528,1595,343.0,8.0,101.0,0,0,1,0,1,0,0,0,0,1
71,37,28325100.0,3764,18081400,2114,299.0,15.0,158.0,0,0,1,1,0,1,0,0,0,0
72,13,31208450.0,3632,6051100,651,350.0,15.0,127.0,0,0,1,1,0,0,0,0,1,0
73,30,29847700.0,3555,15201800,1748,355.0,9.0,158.0,0,0,1,1,0,1,0,0,0,0
74,31,30344439.0,3547,16173539,1822,357.0,9.0,101.0,0,0,1,1,0,0,1,0,0,0
76,9,37835156.0,3175,23813756,2003,372.0,4.0,163.0,0,0,1,1,0,1,0,0,0,0
77,49,29127600.0,3067,15136600,1541,379.0,9.0,83.0,0,0,1,1,0,1,0,0,0,0
78,44,26855539.0,2977,18356139,1973,383.0,9.0,115.0,0,0,1,1,0,0,1,0,0,0
79,4,15628000.0,2588,2496000,416,278.0,16.0,105.0,0,0,1,0,1,0,0,0,1,0
80,1511,19213863.0,2409,5552584,566,27.0,5.0,6.0,0,0,1,0,1,1,0,0,0,0
81,41,19741547.0,2340,11324767,1281,420.0,9.0,150.0,0,0,1,1,0,1,0,0,0,0
82,49,19514660.0,2146,3875500,447,431.0,7.0,155.0,0,0,1,1,0,1,0,0,0,0
83,54,19332199.0,2058,9590660,982,436.0,15.0,156.0,0,0,1,1,0,1,0,0,0,0
84,30,15777781.0,1914,9538873,1078,441.0,9.0,157.0,0,0,1,1,0,1,0,0,0,0
85,884,12547000.0,1835,414000,46,39.0,7.0,10.0,0,0,1,0,1,1,0,0,0,0
86,9,20822500.0,1797,20822500,1797,49.0,8.0,43.0,0,0,1,0,1,0,0,0,0,1
87,52,15702811.0,1748,5253506,496,449.0,12.0,101.0,0,0,1,1,0,0,1,0,0,0
88,85,16605000.0,1744,8630000,863,205.0,15.0,72.0,0,0,1,0,1,0,0,0,1,0
89,11,21709300.0,1655,19211600,1425,455.0,9.0,82.0,0,0,1,0,1,1,0,0,0,0
90,7,16877200.0,1653,16612700,1627,456.0,9.0,82.0,0,0,1,0,1,0,1,0,0,0
91,47,14346450.0,1558,8082360,851,443.0,16.0,99.0,0,0,1,0,1,0,0,0,1,0
92,21,12960388.0,1514,9996600,1133,465.0,9.0,171.0,0,0,1,1,0,0,1,0,0,0
93,670,8974000.0,1489,0,0,102.0,9.0,25.0,0,0,1,0,1,1,0,0,0,0
94,28,15141914.0,1487,8993814,785,471.0,15.0,63.0,0,0,1,1,0,0,0,0,1,0
95,26,15687400.0,1428,3682000,346,205.0,15.0,168.0,0,0,1,0,1,0,0,0,1,0
96,24,12803200.0,1289,11321400,1108,484.0,5.0,160.0,0,0,1,1,0,1,0,0,0,0
97,25,10987600.0,1278,6609000,733,487.0,15.0,177.0,0,0,1,1,0,0,0,0,1,0
98,414,10252400.0,1278,2954500,381,123.0,7.0,42.0,0,0,1,0,1,1,0,0,0,0
99,14,9879000.0,1187,7350000,837,496.0,4.0,177.0,0,0,1,1,0,0,1,0,0,0
100,28,10936501.0,1168,8474951,866,491.0,18.0,171.0,0,0,1,1,0,1,0,0,0,0
101,5,8992000.0,1112,5876000,657,508.0,9.0,179.0,0,0,1,1,0,1,0,0,0,0
102,1,6648000.0,1108,0,0,278.0,14.0,121.0,0,0,1,0,1,0,0,0,1,0
103,7,8842500.0,1101,7654000,809,509.0,18.0,163.0,0,0,1,1,0,0,1,0,0,0
104,16,15582000.0,1039,13498500,900,516.0,5.0,123.0,0,0,1,0,1,0,1,0,0,0
105,16,17259500.0,951,12332000,703,198.0,9.0,185.0,0,0,1,0,1,1,0,0,0,0
106,58,8128817.0,912,3885017,431,458.0,15.0,191.0,0,0,1,1,0,1,0,0,0,0
107,9,8614339.0,898,5204039,581,539.0,15.0,188.0,0,0,1,1,0,0,0,0,1,0
108,18,7539700.0,878,5995650,651,405.0,9.0,135.0,0,0,1,1,0,1,0,0,0,0
109,47,7898500.0,878,6301500,663,382.0,9.0,138.0,0,0,1,1,0,1,0,0,0,0
112,823,4513000.0,714,0,0,117.0,7.0,8.0,0,0,1,0,1,0,1,0,0,0
113,13,5308939.0,611,4430339,493,563.0,9.0,133.0,0,0,1,1,0,1,0,0,0,0
114,19,5673900.0,599,4574000,484,565.0,9.0,208.0,0,0,1,1,0,0,0,0,1,0
115,162,5261624.0,585,2259356,250,201.0,12.0,76.0,0,1,0,0,1,0,1,0,0,0
116,2,5753000.0,539,5753000,539,499.0,9.0,163.0,0,0,1,0,1,0,0,0,0,1
117,16,4544000.0,523,3497000,380,583.0,18.0,165.0,0,0,1,1,0,1,0,0,0,0
118,1932,3755000.0,517,1310000,116,8.0,2.0,8.0,0,0,1,0,1,0,1,0,0,0
119,16,2984000.0,512,678000,113,394.0,10.0,144.0,0,0,1,0,1,0,0,0,1,0
120,25,4794445.0,507,2064000,222,588.0,9.0,132.0,0,0,1,0,1,0,1,0,0,0
121,10,5017510.0,442,3106400,250,632.0,2.0,215.0,0,0,1,1,0,0,1,0,0,0
122,62,3141000.0,392,1595000,137,398.0,9.0,120.0,0,0,1,1,0,1,0,0,0,0
123,128,2740000.0,390,0,0,155.0,10.0,49.0,0,0,1,1,0,0,0,0,1,0
124,8,2855000.0,360,783000,87,274.0,15.0,224.0,0,0,1,1,0,1,0,0,0,0
125,33,2512000.0,317,2344000,293,440.0,15.0,104.0,0,0,1,1,0,0,0,0,1,0
126,10,1872000.0,312,0,0,644.0,9.0,228.0,0,0,1,1,0,0,1,0,0,0
127,5,2442500.0,308,1356000,149,649.0,2.0,133.0,0,0,1,1,0,0,1,0,0,0
128,59,2096500.0,291,1710000,225,511.0,15.0,146.0,0,0,1,1,0,1,0,0,0,0
129,12,2200500.0,279,1377500,169,349.0,9.0,158.0,0,0,1,1,0,1,0,0,0,0
130,5,2577000.0,265,2470000,247,656.0,12.0,119.0,0,0,1,1,0,1,0,0,0,0
131,36,2103000.0,257,1661000,194,445.0,9.0,159.0,0,0,1,1,0,1,0,0,0,0
132,56,2071500.0,249,1392000,181,288.0,14.0,63.0,0,0,1,1,0,0,0,0,1,0
133,5,1026000.0,214,82000,11,673.0,17.0,238.0,0,0,1,1,0,1,0,0,0,0
134,1,1827000.0,203,0,0,677.0,9.0,88.0,0,0,1,0,1,1,0,0,0,0
135,1231,1193745.0,154,1193745,154,37.0,4.0,7.0,0,0,1,0,1,0,1,0,0,0
136,1058,1269228.0,146,1168228,134,108.0,7.0,16.0,0,0,1,0,1,0,1,0,0,0
137,986,912000.0,114,912000,114,79.0,8.0,4.0,0,0,1,0,1,0,1,0,0,0
138,93,1195500.0,105,216000,27,266.0,15.0,118.0,0,0,1,1,0,0,0,0,1,0
139,5,624000.0,104,0,0,705.0,7.0,252.0,0,0,1,1,0,1,0,0,0,0
140,4,868000.0,98,806000,91,710.0,18.0,255.0,0,0,1,1,0,1,0,0,0,0
141,52,280000.0,70,0,0,450.0,4.0,101.0,0,0,1,1,0,0,1,0,0,0
142,65,861000.0,63,861000,63,267.0,6.0,120.0,0,0,1,1,0,1,0,0,0,0
143,221,335000.0,47,41000,5,160.0,10.0,8.0,0,0,1,1,0,0,0,0,1,0
144,407,267439.0,42,0,0,121.0,10.0,8.0,0,0,1,0,1,0,0,0,1,0
151,1,327000.0,35,303000,32,687.0,9.0,247.0,0,0,1,1,0,1,0,0,0,0
152,181,201100.0,31,0,0,479.0,10.0,133.0,0,0,1,1,0,0,0,0,1,0
153,1731,186000.0,25,186000,25,11.0,9.0,7.0,0,0,1,0,1,0,1,0,0,0
154,5,67000.0,21,0,0,595.0,9.0,211.0,0,0,1,1,0,1,0,0,0,0
166,1,100000.0,20,0,0,859.0,20.0,291.0,0,0,1,0,1,0,0,0,0,1
167,1,100000.0,20,0,0,855.0,20.0,282.0,0,0,1,0,1,0,0,0,0,1
172,1,100000.0,20,100000,20,855.0,20.0,282.0,0,0,1,0,1,0,0,0,0,1
184,1,100000.0,20,100000,20,810.0,20.0,283.0,0,0,1,0,1,0,0,0,0,1
189,1,100000.0,20,0,0,855.0,20.0,282.0,0,0,1,0,1,0,0,0,0,1
191,1,100000.0,20,100000,20,855.0,20.0,282.0,0,0,1,0,1,0,0,0,0,1
195,1,100000.0,20,0,0,855.0,20.0,282.0,0,0,1,0,1,0,0,0,0,1
204,1,100000.0,20,0,0,855.0,20.0,282.0,0,0,1,0,1,0,0,0,0,1
205,12,134000.0,19,126000,18,642.0,13.0,96.0,0,0,1,1,0,1,0,0,0,0
206,5,25000.0,5,0,0,879.0,18.0,289.0,0,0,1,0,1,0,0,0,0,1
207,5,25000.0,5,0,0,879.0,20.0,289.0,0,0,1,0,1,0,0,0,0,1
208,5,25000.0,5,0,0,879.0,20.0,289.0,0,0,1,0,1,0,0,0,0,1
209,21,25000.0,5,0,0,572.0,9.0,204.0,0,0,1,1,0,1,0,0,0,0
210,4,25000.0,5,0,0,879.0,20.0,289.0,0,0,1,0,1,0,0,0,0,1
211,5,25000.0,5,0,0,856.0,18.0,289.0,0,0,1,0,1,0,0,0,0,1
212,5,25000.0,5,0,0,870.0,18.0,289.0,0,0,1,0,1,0,0,0,0,1
213,42,22000.0,3,0,0,473.0,19.0,88.0,0,0,1,1,0,1,0,0,0,0
214,145,15000.0,3,0,0,378.0,1.0,33.0,0,0,1,1,0,1,0,0,0,0
216,17,10000.0,2,0,0,608.0,15.0,158.0,0,0,1,1,0,0,0,0,1,0
218,1,6000.0,1,0,0,859.0,20.0,291.0,0,0,1,0,1,0,0,0,0,1
227,1,1000.0,1,0,0,948.0,20.0,176.0,0,0,1,0,1,0,0,0,0,1
234,1,6000.0,1,0,0,879.0,20.0,289.0,0,0,1,0,1,0,0,0,0,1
238,1,6000.0,1,0,0,975.0,20.0,295.0,0,0,1,0,1,0,0,0,0,1
239,1,6000.0,1,0,0,975.0,20.0,295.0,0,0,1,0,1,0,0,0,0,1
240,1,1000.0,1,0,0,975.0,20.0,295.0,0,0,1,0,1,0,0,0,0,1
241,1,1000.0,1,0,0,975.0,20.0,295.0,0,0,1,0,1,0,0,0,0,1
245,1,6000.0,1,0,0,852.0,20.0,268.0,0,0,1,0,1,0,0,0,0,1
246,1,6000.0,1,0,0,875.0,18.0,266.0,0,0,1,0,1,0,0,0,0,1
255,1,6000.0,1,0,0,879.0,20.0,289.0,0,0,1,0,1,0,0,0,0,1
261,1,6000.0,1,0,0,852.0,20.0,268.0,0,0,1,0,1,0,0,0,0,1
269,1,1000.0,1,0,0,891.0,20.0,302.0,0,0,1,0,1,0,0,0,0,1
273,21,14000.0,1,0,0,715.0,18.0,257.0,0,0,1,1,0,1,0,0,0,0
278,1,6000.0,1,0,0,943.0,9.0,304.0,0,0,1,0,1,0,0,0,0,1
282,1,6000.0,1,0,0,855.0,20.0,282.0,0,0,1,0,1,0,0,0,0,1
284,1,6000.0,1,0,0,879.0,20.0,289.0,0,0,1,0,1,0,0,0,0,1
287,1,6000.0,1,0,0,879.0,20.0,268.0,0,0,1,0,1,0,0,0,0,1
292,1,6000.0,1,0,0,879.0,18.0,289.0,0,0,1,0,1,0,0,0,0,1
293,1,6000.0,1,0,0,855.0,20.0,282.0,0,0,1,0,1,0,0,0,0,1
295,1,1000.0,1,0,0,975.0,20.0,295.0,0,0,1,0,1,0,0,0,0,1
296,1,1000.0,1,0,0,975.0,20.0,295.0,0,0,1,0,1,0,0,0,0,1
298,1,6000.0,1,0,0,879.0,20.0,268.0,0,0,1,0,1,0,0,0,0,1
300,1,6000.0,1,0,0,852.0,20.0,268.0,0,0,1,0,1,0,0,0,0,1
301,1,6000.0,1,0,0,978.0,20.0,265.0,0,0,1,0,1,0,0,0,0,1
320,1,6000.0,1,0,0,855.0,20.0,282.0,0,0,1,0,1,0,0,0,0,1
329,1,6000.0,1,0,0,855.0,20.0,282.0,0,0,1,0,1,0,0,0,0,1
332,1,6000.0,1,0,0,828.0,20.0,283.0,0,0,1,0,1,0,0,0,0,1
334,1,1000.0,1,0,0,891.0,20.0,302.0,0,0,1,0,1,0,0,0,0,1
335,1,6000.0,1,0,0,855.0,20.0,282.0,0,0,1,0,1,0,0,0,0,1
339,1,6000.0,1,0,0,961.0,18.0,289.0,0,0,1,0,1,0,0,0,0,1
344,1,1000.0,1,0,0,881.0,20.0,294.0,0,0,1,0,1,0,0,0,0,1
345,1,6000.0,1,0,0,875.0,20.0,289.0,0,0,1,0,1,0,0,0,0,1
346,1,6000.0,1,0,0,855.0,20.0,282.0,0,0,1,0,1,0,0,0,0,1
366,1,6000.0,1,0,0,859.0,20.0,291.0,0,0,1,0,1,0,0,0,0,1
367,1,6000.0,1,0,0,879.0,7.0,268.0,0,0,1,0,1,0,0,0,0,1
372,1,1000.0,1,0,0,881.0,20.0,294.0,0,0,1,0,1,0,0,0,0,1
373,1,1000.0,1,0,0,881.0,20.0,294.0,0,0,1,0,1,0,0,0,0,1
377,1,6000.0,1,0,0,991.0,20.0,296.0,0,0,1,0,1,0,0,0,0,1
380,1,1000.0,1,0,0,881.0,20.0,294.0,0,0,1,0,1,0,0,0,0,1
381,1,1000.0,1,0,0,881.0,20.0,294.0,0,0,1,0,1,0,0,0,0,1
382,1,6000.0,1,0,0,828.0,20.0,283.0,0,0,1,0,1,0,0,0,0,1
384,2582,104688000000.0,10682813,22152818269,2215433,2.0,1.0,1.0,0,0,1,0,1,0,1,0,0,0
385,1932,49681254003.0,5142702,10714067316,1082153,8.0,2.0,8.0,0,0,1,0,1,0,1,0,0,0
386,1731,37387836232.0,3847041,8918447541,894311,11.0,9.0,7.0,0,0,1,0,1,0,1,0,0,0
387,1511,18616278692.0,1914020,4200605786,425787,27.0,5.0,6.0,0,0,1,0,1,1,0,0,0,0
388,1226,18306995855.0,1861665,4272347671,426286,23.0,7.0,10.0,0,0,1,0,1,1,0,0,0,0
389,1231,13816661288.0,1462467,3708752182,385832,37.0,4.0,7.0,0,0,1,0,1,0,1,0,0,0
390,884,13432972901.0,1386474,2731175483,276753,39.0,7.0,10.0,0,0,1,0,1,1,0,0,0,0
391,1151,9781885404.0,1015453,2104228583,211335,24.0,9.0,3.0,0,0,1,0,1,1,0,0,0,0
392,1282,9207259580.0,991281,2304307955,240867,54.0,9.0,11.0,0,0,1,0,1,1,0,0,0,0
393,966,6703071465.0,682742,1626471729,162939,14.0,2.0,8.0,0,0,1,0,1,0,0,0,0,1
394,1285,5633598745.0,589218,1328417293,131473,48.0,7.0,4.0,0,0,1,0,1,1,0,0,0,0
395,1187,4893985038.0,486060,1447945116,132243,55.0,13.0,6.0,0,0,1,0,1,1,0,0,0,0
396,986,4002512694.0,424802,886165277,91907,79.0,8.0,4.0,0,0,1,0,1,0,1,0,0,0
397,1058,3002110348.0,313540,1013627343,104561,108.0,7.0,16.0,0,0,1,0,1,0,1,0,0,0
398,976,2457632608.0,255023,600279959,61135,99.0,9.0,4.0,0,0,1,0,1,0,1,0,0,0
399,887,1856148829.0,202133,409374047,43602,98.0,2.0,10.0,0,0,1,0,1,0,1,0,0,0
400,823,1603946160.0,167164,282473277,29353,117.0,7.0,8.0,0,0,1,0,1,0,1,0,0,0
401,407,1191803519.0,135934,220161255,24155,121.0,10.0,8.0,0,0,1,0,1,0,0,0,1,0
402,685,1234961700.0,128084,337910129,33035,101.0,2.0,15.0,0,0,1,0,1,0,1,0,0,0
403,602,1133443035.0,116934,389327332,40454,103.0,15.0,26.0,0,0,1,1,0,1,0,0,0,0
404,314,1111161700.0,101398,204437800,18003,100.0,12.0,40.0,0,0,1,0,1,0,1,0,0,0
405,414,878620500.0,94868,229564900,24320,123.0,7.0,42.0,0,0,1,0,1,1,0,0,0,0
407,613,798202273.0,79688,171214593,16709,146.0,2.0,37.0,0,0,1,0,1,0,0,0,0,1
408,269,576492200.0,62287,132770800,15007,126.0,12.0,36.0,0,0,1,1,0,0,1,0,0,0
409,128,522687100.0,60626,90604000,10353,155.0,10.0,49.0,0,0,1,1,0,0,0,0,1,0
410,221,453221800.0,53890,76477500,9495,160.0,10.0,8.0,0,0,1,1,0,0,0,0,1,0
411,136,406601124.0,47571,150950666,17023,159.0,15.0,51.0,0,0,1,1,0,0,0,0,1,0
412,72,1017054000.0,42384,313654500,13070,143.0,16.0,43.0,0,0,1,0,1,0,0,0,1,0
413,78,931921500.0,40391,342134500,14741,139.0,16.0,39.0,0,0,1,0,1,0,0,0,1,0
414,1154,358817924.0,39697,118214371,12670,89.0,9.0,16.0,0,0,1,0,1,1,0,0,0,0
415,262,302830500.0,35916,104903000,12516,150.0,18.0,8.0,0,0,1,0,1,1,0,0,0,0
416,85,273928906.0,27334,89527701,8838,205.0,15.0,72.0,0,0,1,0,1,0,0,0,1,0
417,162,215591996.0,26804,63269446,8091,201.0,12.0,76.0,0,1,0,0,1,0,1,0,0,0
418,181,198703100.0,22111,51737600,5599,172.0,12.0,58.0,0,0,1,0,1,0,1,0,0,0
419,291,191595710.0,20926,76774055,8073,176.0,18.0,60.0,0,0,1,0,1,0,1,0,0,0
420,998,193653900.0,20421,129947516,12902,112.0,7.0,7.0,0,0,1,0,1,0,1,0,0,0
421,220,175734250.0,19852,45836100,5319,179.0,12.0,82.0,0,0,1,1,0,0,1,0,0,0
422,4,108130300.0,17902,11279500,1876,278.0,16.0,105.0,0,0,1,0,1,0,0,0,1,0
423,56,126095293.0,15921,82717690,9561,288.0,14.0,63.0,0,0,1,1,0,0,0,0,1,0
424,93,134568541.0,13988,64950273,6416,266.0,15.0,118.0,0,0,1,1,0,0,0,0,1,0
425,65,117307259.0,13966,70601109,7758,267.0,6.0,120.0,0,0,1,1,0,1,0,0,0,0
426,213,112603400.0,13956,44006000,5505,89.0,4.0,91.0,0,0,1,0,1,0,1,0,0,0
427,122,101261000.0,13758,9768000,1296,262.0,1.0,82.0,0,0,1,0,1,0,1,0,0,0
428,282,122980128.0,13647,46259247,5319,203.0,8.0,101.0,0,0,1,1,0,0,0,0,0,1
429,146,118473964.0,13376,58330946,6483,207.0,7.0,78.0,0,0,1,1,0,0,1,0,0,0
430,75,86112204.0,12087,48841378,6293,215.0,9.0,135.0,0,0,1,1,0,1,0,0,0,0
431,78,91592476.0,10923,51854519,6005,227.0,1.0,101.0,0,0,1,1,0,0,1,0,0,0
432,64,117266600.0,9982,34336100,2855,237.0,16.0,107.0,0,0,1,0,1,0,0,0,1,0
433,93,87167847.0,9229,53667750,5439,240.0,10.0,103.0,0,0,1,1,0,1,0,0,0,0
434,76,90910098.0,9064,65360303,6346,181.0,9.0,62.0,0,0,1,1,0,1,0,0,0,0
435,109,88306269.0,8601,60028315,5511,248.0,15.0,97.0,0,0,1,1,0,0,0,0,1,0
436,26,158654500.0,7933,103098000,5155,198.0,16.0,100.0,0,0,1,0,1,0,0,0,1,0
437,48,62777980.0,7647,36943781,4342,256.0,9.0,102.0,0,0,1,1,0,1,0,0,0,0
438,23,107713000.0,7181,92143500,6143,410.0,9.0,123.0,0,0,1,0,1,1,0,0,0,0
439,670,45721279.0,6580,3340581,373,102.0,9.0,25.0,0,0,1,0,1,1,0,0,0,0
440,145,51623600.0,6133,18605200,2321,378.0,1.0,33.0,0,0,1,1,0,1,0,0,0,0
441,37,43488556.0,5947,22236806,2662,299.0,15.0,158.0,0,0,1,1,0,1,0,0,0,0
442,44,118467500.0,5924,63316000,3166,279.0,16.0,43.0,0,0,1,0,1,0,0,0,1,0
443,90,51673696.0,5678,25716818,2762,282.0,8.0,92.0,0,0,1,1,0,0,1,0,0,0
444,89,47097416.0,5586,17857956,1971,220.0,9.0,92.0,0,0,1,1,0,1,0,0,0,0
445,562,49260000.0,5481,9711000,1075,131.0,9.0,71.0,0,0,1,1,0,0,1,0,0,0
446,1314,34906000.0,5237,5447000,685,17.0,9.0,6.0,0,0,1,0,1,1,0,0,0,0
447,62,43854272.0,4996,24031344,2631,398.0,9.0,120.0,0,0,1,1,0,1,0,0,0,0
448,80,94042500.0,4563,49562500,2395,141.0,15.0,99.0,0,0,1,0,1,1,0,0,0,0
449,80,85413500.0,4162,46382500,2252,141.0,15.0,99.0,0,0,1,0,1,1,0,0,0,0
450,42,35320331.0,4093,23149655,2557,328.0,7.0,71.0,0,0,1,1,0,1,0,0,0,0
451,38,34602406.0,3942,24052006,2598,335.0,15.0,88.0,0,0,1,1,0,1,0,0,0,0
452,77,31850077.0,3904,16356595,2077,338.0,10.0,71.0,0,0,1,0,1,0,0,0,1,0
453,99,28886000.0,3829,9758100,1401,341.0,15.0,140.0,0,0,1,1,0,0,0,0,1,0
454,43,32138203.0,3739,19519353,2165,344.0,9.0,135.0,0,0,1,1,0,0,1,0,0,0
